BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898601,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,723,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898603,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898607,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,740.4,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898613,DEPT OF EDUCATION/MOHELA,1/1/2017,1/31/2017,STUDENT LOANS,813,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898615,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898616,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898617,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,633,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898621,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,600,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898624,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898625,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898626,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898627,GREAT LAKES EDUCATIONAL COMMERCIAL LOAN,1/1/2017,1/31/2017,STUDENT LOANS,538.55,2017,GREAT LAKES EDUCATIONAL COMMERCIAL LOAN
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898628,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,750,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898632,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,650,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898633,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898634,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,740.4,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898637,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898639,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,740.4,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898641,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898643,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898645,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,509,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898647,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898648,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898649,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898650,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898652,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,688.16,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898656,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,650,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898657,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898659,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898660,NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,800,2017,NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898661,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,665,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898662,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898663,DEPT OF EDUCATION/MOHELA,1/1/2017,1/31/2017,STUDENT LOANS,800,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898664,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,800,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898668,DEPT OF EDUCATION/NELNET,1/1/2017,1/31/2017,STUDENT LOANS,800,2017,DEPT OF EDUCATION/NELNET
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898669,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,762,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898671,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898673,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,633,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898677,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898678,NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898679,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898680,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898681,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898683,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898684,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,617,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898685,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,666.85,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898686,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898691,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898693,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898694,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898695,DEPT OF EDUCATION/GREAT LAKES - DOE,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/GREAT LAKES - DOE
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898696,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898697,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898700,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898703,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898704,DEPT OF EDUCATION/NAVIENT,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/NAVIENT
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898705,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898706,DEPT OF EDUCATION/MOHELA,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUCATION/MOHELA
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898707,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898708,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,833,2017,DEPT OF EDUC VIA FEDLOAN SVC
,GOVERNMENT CONTRIBUTIONS,2017Q1,GOVERNMENT CONTRIBUTIONS,PERSONNEL BENEFITS,1/18/2017,AP,898709,DEPT OF EDUC VIA FEDLOAN SVC,1/1/2017,1/31/2017,STUDENT LOANS,608.99,2017,DEPT OF EDUC VIA FEDLOAN SVC
